# 词组读音,只收「读音异于逐字默认」的条目 —— 那正是修多音字需要的。
# 从 pypinyin 的 large_pinyin 导出(参考实现用的同一份),勿手改。
㞎㞎	ba3 ba5
佛图	fo2 tu2
佛图户	fo2 tu2 hu4
佛土	fo2 tu3
佛地	fo2 di4
佛场	fo2 chang3
佛坛	fo2 tan2
佛坪	fo2 ping2
佛坪县	fo2 ping2 xian4
佛堂	fo2 tang2
佛塔	fo2 ta3
佛境	fo2 jing4
佛多	fo2 duo1
佛天	fo2 tian1
佛头	fo2 tou2
佛头加秽	fo2 tou2 jia1 hui4
佛头着粪	fo2 tou2 zhuo2 fen4
佛头石	fo2 tou2 shi2
佛头菊	fo2 tou2 ju2
佛头著粪	fo2 tou2 zhuo2 fen4
佛头青	fo2 tou2 qing1
佛妆	fo2 zhuang1
佛婆	fo2 po2
佛子	fo2 zi3
佛学	fo2 xue2
佛宇	fo2 yu3
佛宝	fo2 bao3
佛宫	fo2 gong1
佛家	fo2 jia1
佛寺	fo2 si4
佛山	fo2 shan1
佛山地区	fo2 shan1 di4 qu1
佛山市	fo2 shan1 shi4
佛幌	fo2 huang3
佛幔	fo2 man4
佛幡	fo2 fan1
佛庐	fo2 lu2
佛庙	fo2 miao4
佛座	fo2 zuo4
佛座须	fo2 zuo4 xu1
佛弟子	fo2 di4 zi3
佛影	fo2 ying3
佛影蔬	fo2 ying3 shu1
佛律	fo2 lv4
佛得角	fo2 de2 jiao3
佛心	fo2 xin1
佛心天子	fo2 xin1 tian1 zi3
佛心蛇口	fo2 xin1 she2 kou3
佛性	fo2 xing4
佛性禅心	fo2 xing4 chan2 xin1
佛慧	fo2 hui4
佛戒	fo2 jie4
佛扃	fo2 jiong1
佛手	fo2 shou3
佛手柑	fo2 shou3 gan1
佛手瓜	fo2 shou3 gua1
佛手蕉	fo2 shou3 jiao1
佛手麦	fo2 shou3 mai4
佛教	fo2 jiao4
佛教徒	fo2 jiao4 tu2
佛教语	fo2 jiao4 yu3
佛日	fo2 ri4
佛旨	fo2 zhi3
佛是金妆	fo2 shi4 jin1 zhuang1
佛是金装	fo2 shi4 jin1 zhuang1
佛曲	fo2 qu3
佛朗哥	fo2 lang3 ge1
佛朗明哥	fo2 lang3 ming2 ge1
佛朗机	fo2 lang3 ji1
佛朗机炮	fo2 lang3 ji1 pao4
佛朗机铳	fo2 lang3 ji1 chong4
佛果	fo2 guo3
佛柜	fo2 gui4
佛树	fo2 shu4
佛桌儿	fo2 zhuo1 er2
佛欢喜日	fo2 huan1 xi3 ri4
佛殿	fo2 dian4
佛母	fo2 mu3
佛氏	fo2 shi4
佛气	fo2 qi4
佛汗	fo2 han4
佛法	fo2 fa3
佛法僧	fo2 fa3 seng1
佛法僧目	fo2 fa3 seng1 mu4
佛泥	bo2 ni2
佛洛伊德	fo2 luo4 yi1 de2
佛海	fo2 hai3
佛火	fo2 huo3
佛灯	fo2 deng1
佛爷	fo2 ye2
佛爷桌儿	fo2 ye2 zhuo1 er2
佛牙	fo2 ya2
佛牙舍利	fo2 ya2 she4 li4
佛狸	bi4 li2
佛狸祠	bi4 li2 ci2
佛现鸟	fo2 xian4 niao3
佛珠	fo2 zhu1
佛理	fo2 li3
佛生日	fo2 sheng1 ri4
佛甲草	fo2 jia3 cao3
佛男	fo2 nan2
佛画	fo2 hua4
佛界	fo2 jie4
佛盘	fo2 pan2
佛眼	fo2 yan3
佛眼佛心	fo2 yan3 fo2 xin1
佛眼相看	fo2 yan3 xiang1 kan4
佛祖	fo2 zu3
佛祠	fo2 ci2
佛种	fo2 zhong3
佛窟	fo2 ku1
佛粥	fo2 zhou1
佛系	fo2 xi4
佛经	fo2 jing1
佛罗伦斯	fo2 luo2 lun2 si1
佛罗伦萨	fo2 luo2 lun2 sa4
佛罗安国	fo2 luo2 an1 guo2
佛老	fo2 lao3
佛耳草	fo2 er3 cao3
佛肸	bi4 xi1
佛腊日	fo2 la4 ri4
佛舍	fo2 she4
佛舍利	fo2 she4 li4
佛草	fo2 cao3
佛蒙特	fo2 meng2 te4
佛蒙特州	fo2 meng2 te4 zhou1
佛藏	fo2 zang4
佛螺	fo2 luo2
佛衣	fo2 yi1
佛袈裟	fo2 jia1 sha1
佛记	fo2 ji4
佛证	fo2 zheng4
佛诞日	fo2 dan4 ri4
佛语	fo2 yu3
佛说	fo2 shuo1
佛谛	fo2 di4
佛豆	fo2 dou4
佛跳墙	fo2 tiao4 qiang2
佛迹	fo2 ji4
佛退	fo2 tui4
佛逝国	fo2 shi4 guo2
佛郎	fo2 lang2
佛郎嵌	fo2 lang2 qian4
佛郎机	fo2 lang2 ji1
佛郎机炮	fo2 lang2 ji1 pao4
佛钵	fo2 bo1
佛门	fo2 men2
佛门弟子	fo2 men2 di4 zi3
佛阁	fo2 ge2
佛阑克	fo2 lan2 ke4
佛陀	fo2 tuo2
佛陇	fo2 long3
佛院	fo2 yuan4
佛青	fo2 qing1
佛面	fo2 mian4
佛面竹	fo2 mian4 zhu2
佛顶珠	fo2 ding3 zhu1
佛顶菊	fo2 ding3 ju2
佛饼	fo2 bing3
佛香阁	fo2 xiang1 ge2
佛骨	fo2 gu3
佛骨塔	fo2 gu3 ta3
佛高一尺	fo2 gao1 yi1 chi3
佛髻	fo2 ji4
佛齿	fo2 chi3
佛龛	fo2 kan1
作为	zuo4 wei2
作么	zuo4 mo3
作么朗	zuo4 mo3 lang3
作么生	zuo4 mo3 sheng1
作乐	zuo4 yue4
作坊	zuo1 fang1
作子	zuo4 zi3
作对地	zuo4 dui4 de5
作弄	zuo1 nong4
作得	zuo4 de5
作房	zuo1 fang2
作料	zuo4 liao5
作曲	zuo4 qu3
作曲家	zuo4 qu3 jia1
作曲者	zuo4 qu3 zhe3
作歹为非	zuo4 dai3 wei2 fei1
作瘪子	zuo4 bie3 zi3
作筏子	zuo4 fa2 zi3
作翫	zuo4 wan4
作舍道边	zuo4 she4 dao4 bian1
作蹩子	zuo4 bie2 zi3
佝瞀	kou4 mao4
佞佛	ning4 fo2
你不断地	ni3 bu4 duan4 de5
你个头	ni3 ge5 tou2
你乐意地	ni3 le4 yi4 de5
你大大地	ni3 da4 da4 de5
你奇怪地	ni3 qi2 guai4 de5
你无私地	ni3 wu2 si1 de5
佣中佼佼	yong4 zhong1 jiao3 jiao3
佣仆	yong1 pu2
佣畊	yong4 geng1
佣金	yong4 jin1
佣钱	yong4 qian2
佥都御史	qian1 du1 yu4 shi3
佩瑱	pei4 tian4
佩纕	pei4 xiang1
佩觹	pei4 wei2
佪佪	huai2 huai2
佪挠	huai2 nao2
佪旋	huai2 xuan2
佪翔	huai2 xiang2
佯为	yang2 wei2
佯长	yang2 chang2
佳丽酿	jia1 li4 niang2
佳人才子	jia1 ren2 cai2 zi3
佳人薄命	jia1 ren2 bo2 ming4
佳什	jia1 shi2
佳公子	jia1 gong1 zi3
佳处	jia1 chu3
佳妙地	jia1 miao4 de5
佳子弟	jia1 zi3 di4
佴之蚕室	er5 zi5 chan5 shi5
佶倔	ji2 jue4
佹形僪状	gui3 xing2 yu4 zhuang4
佹得	gui3 de5
佻薄	tiao1 bo2
使不着	shi3 bu4 zhao2
使劲儿	shi3 jin4 er5
使劲地	shi3 jin4 de5
使劲地嚼	shi3 jin4 de5 jue2
使劲地干	shi3 jin4 de5 gan4
使劲地打	shi3 jin4 de5 da3
使君子	shi3 jun1 zi3
使命地	shi3 ming4 de5
使唤	shi3 huan5
使尽	shi3 jin4
使徒行传	shi3 tu2 xing2 zhuan4
使得	shi3 de5
使感动地	shi3 gan3 dong4 de5
使无效地	shi3 wu2 xiao4 de5
使气地	shi3 qi4 de5
使窘迫地	shi3 jiong3 po4 de5
使绊子	shi3 ban4 zi3
使羊将狼	shi3 yang2 jiang4 lang2
使迷惑地	shi3 mi2 huo4 de5
使长	shi3 chang2
使陷危地	shi3 xian4 wei1 de5
使麻木地	shi3 ma2 mu4 de5
侃然正色	kan5 ran5 zheng5 she5
侄儿	zhi2 er5
侄女儿	zhi2 nv3 er5
侄媳妇	zhi2 xi2 fu5
侄少爷	zhi2 shao4 ye2
侈弇	chi3 yan1
侈长	chi3 chang2
侊饭	gong1 fan4
例假	li4 jia4
例如地	li4 ru2 de5
例行差事	li4 xing2 chai1 shi4
侍子	shi4 zi3
侍应	shi4 ying4
侍应生	shi4 ying4 sheng1
侍长	shi4 chang2
侔色揣称	mou2 se4 chuai3 chen4
侗侗	tong3 tong3
侗长	tong3 chang2
供不应求	gong1 bu4 ying4 qiu2
供事	gong4 shi4
供享	gong4 xiang3
供亿	gong4 yi4
供佛	gong4 fo2
供佛花	gong4 fo2 hua1
供侍	gong4 shi4
供偫	gong4 zhi4
供僧	gong4 seng1
供儗	gong4 ni3
供具	gong4 ju4
供养	gong4 yang3
供冀	gong4 ji4
供办	gong4 ban4
供吐	gong4 tu3
供呈	gong4 cheng2
供命	gong4 ming4
供品	gong4 pin3
供唱	gong4 chang4
供器	gong4 qi4
供备	gong4 bei4
供奉	gong4 feng4
供奉曲	gong4 feng4 qu3
供奉猴	gong4 feng4 hou2
供官诗	gong4 guan1 shi1
供尖	gong4 jian1
供展览地	gong1 zhan3 lan3 de5
供帐	gong4 zhang4
供床	gong4 chuang2
供应	gong1 ying4
供应品	gong1 ying4 pin3
供应商	gong1 ying4 shang1
供应地	gong1 ying4 de5
供应室	gong1 ying4 shi4
供应点	gong1 ying4 dian3
供应站	gong1 ying4 zhan4
供应者	gong1 ying4 zhe3
供应舰	gong1 ying4 jian4
供应链	gong1 ying4 lian4
供张	gong4 zhang1
供役	gong4 yi4
供待	gong4 dai4
供御	gong4 yu4
供御囚	gong4 yu4 qiu2
供承	gong4 cheng2
供报	gong4 bao4
供招	gong4 zhao1
供拟	gong4 ni3
供攀	gong4 pan1
供支	gong4 zhi1
供断	gong4 duan4
供暖	gong4 nuan3
供月儿	gong4 yue4 er2
供析	gong4 xi1
供果	gong4 guo3
供案	gong4 an4
供桌	gong4 zhuo1
供款	gong4 kuan3
供济	gong4 ji4
供爨	gong4 cuan4
供物	gong4 wu4
供状	gong4 zhuang4
供献	gong4 xian4
供直	gong4 zhi2
供礼	gong4 li3
供祀	gong4 si4
供祭	gong4 ji4
供称	gong4 cheng1
供稿	gong4 gao3
供给	gong1 ji3
供给制	gong1 ji3 zhi4
供置	gong4 zhi4
供职	gong4 zhi2
供脚	gong4 jiao3
供膳	gong4 shan4
供艺	gong4 yi4
供花	gong4 hua1
供菜	gong4 cai4
供认	gong4 ren4
供认不讳	gong4 ren4 bu2 hui4
供设	gong4 she4
供词	gong4 ci2
供课	gong4 ke4
供贡	gong4 gong4
供赋	gong4 fu4
供赡	gong4 shan4
供输	gong4 shu1
供过	gong4 guo4
供进	gong4 jin4
供述	gong4 shu4
供送	gong4 song4
供通	gong4 tong1
供须	gong4 xu1
供顿	gong4 dun4
供飨	gong4 xiang3
供饭	gong4 fan4
供饷	gong4 xiang3
供馈	gong4 kui4
供馔	gong4 zhuan4
供鲜	gong4 xian1
侜张为幻	zhou1 zhang1 wei2 huan4
依丱附木	yi1 kuang4 fu4 mu4
依从地	yi1 cong2 de5
依佛	yi1 fo2
依佛哪	yi1 fo2 na3
依地语	yi1 de5 yu3
依头缕当	yi1 tou2 lv3 dang4
依序地	yi1 xu4 de5
依得	yi1 de5
依柔乞煞	yi1 rou2 qi3 sha4
依样葫芦	yi1 yang4 hu2 lu5
依次地	yi1 ci4 de5
依法炮制	yi1 fa3 pao2 zhi4
依职权地	yi1 zhi2 quan2 de5
依藉	yi1 jie4
依阿	yi1 e1
依阿取容	yi1 e1 qu3 rong2
侟绅	jian4 shen1
侠毂	xia2 gu1
侥会	yao2 hui4
侥傒	yao2 xi1
侥僺	yao2 qiao4
侥冀	yao2 ji4
侥冒	yao2 mao4
侥利	yao2 li4
侥取	yao2 qu3
侥奇	yao2 qi2
侥幸地	jiao3 xing4 de5
侥忝	yao2 tian3
侥望	yao2 wang4
侥求	yao2 qiu2
侥滥	yao2 lan4
侥灵	yao2 ling2
侥竞	yao2 jing4
侥薄	yao2 bao2
侥觊	yao2 ji4
侥觎	yao2 yu2
侥躐	yao2 lie4
侥速	yao2 su4
侦伺	zhen1 si4
侧向地	ce4 xiang4 de5
侧弁	ze4 bian4
侧棱	zhai1 leng2
侧歪	zhai1 wai1
侧载	ce4 zai3
侧辞艳曲	ce4 ci2 yan4 qu3
侧面地	ce4 mian4 de5
侨处	qiao2 chu3
侨氓	qiao2 meng2
侮嫚	wu3 man4
侮折	wu3 she2
侮翫	wu3 wan4
侮谩	wu3 man4
侮辱地	wu3 ru3 de5
侯不	hou4 bu4
侯伏侯	hou4 fu2 hou4
侯伯	hou4 bo2
侯冈	hou4 gang1
侯刚	hou4 gang1
侯卫	hou4 wei4
侯印	hou4 yin4
侯史	hou4 shi3
侯吕陵	hou4 lv3 ling2
侯国	hou4 guo2
侯圻	hou4 qi2
侯头	hou4 tou2
侯家	hou4 jia1
侯封	hou4 feng1
侯度	hou4 du4
侯弓	hou4 gong1
侯氏	hou4 shi4
侯波	hou4 bo1
侯牏	hou4 yu2
侯牧	hou4 mu4
侯王	hou4 wang2
侯甸	hou4 dian4
侯畿	hou4 ji1
侯白	hou4 bai2
侯社	hou4 she4
侯禳	hou4 rang2
侯籍	hou4 ji2
侯者	hou4 zhe3
侯莫陈	hou4 mo4 chen2
侯道	hou4 dao4
侯门似海	hou2 men2 si4 hai3
侯鲭	hou4 qing1
侯龟	hou4 gui1
侲子	zhen4 zi3
侵入地	qin1 ru4 de5
侵剥	qin1 bao1
侵权行为	qin1 quan2 xing2 wei2
侵牟	qin1 mu4
侵略地	qin1 lve4 de5
侵蚀地	qin1 shi2 de5
侵轧	qin1 zha2
侻顺	tuo1 shun4
便了	bian4 liao3
便佞	pian2 ning4
便利地	bian4 li4 de5
便固执地	bian4 gu4 zhi2 de5
便嬖	pian2 bi4
便嬛	pian2 xuan1
便宜	pian2 yi5
便宜地	pian2 yi2 de5
便宜货	pian2 yi2 huo4
便悄悄地	bian4 qiao1 qiao1 de5
便捷地	bian4 jie2 de5
便旋	pian2 xuan2
便果断地	bian4 guo3 duan4 de5
便溺	bian4 niao4
便章	pian2 zhang1
便言	pian2 yan2
便还就孤	bian5 huan5 jiu5 gu5
便难	bian4 nan4
便飞快地	bian4 fei1 kuai4 de5
促曲	cu4 qu3
促载	cu4 zai3
俄勒冈	e2 le4 gang1
俄勒冈州	e2 le4 gang1 zhou1
俉俉	wu4 wu4
俊俏地	jun4 qiao4 de5
俊鹘	jun4 hu2
俏头	qiao4 tou5
俏成俏败	xiao4 cheng2 xiao4 bai4
俏皮地	qiao4 pi2 de5
俐落地	li4 luo4 de5
俗丽地	su2 li4 de5
俗乐	su2 yue4
俗子	su2 zi3
俗曲	su2 qu3
俗气地	su2 qi4 de5
俘掠	fu2 lve3
俚子	li3 zi3
俚曲	li3 qu3
俛临	mian3 lin2
俛伏	mian3 fu2
俛偻	mian3 lv3
俛僶	mian3 min3
俛卬	mian3 ang2
俛啄	mian3 zhuo2
俛容	mian3 rong2
俛就	mian3 jiu4
俛然	mian3 ran2
俛眄	mian3 mian3
俛眉	mian3 mei2
俛视	mian3 shi4
俛诎	mian3 qu1
俛起	mian3 qi3
俛附	mian3 fu4
俛默	mian3 mo4
保不住	bao3 bu2 zhu4
保子	bao3 zi3
保守地	bao3 shou3 de5
保守地说	bao3 shou3 de5 shuo1
保得住	bao3 de5 zhu4
保得定	bao3 de5 ding4
保泰持盈	bao3 tai4 chi4 ying2
保浇地	bao3 jiao1 de5
保盈持泰	bao3 ying2 chi4 tai4
保角对应	bao3 jiao3 dui4 ying4
保证地	bao3 zheng4 de5
保长对应	bao3 chang2 dui4 ying4
保险杠	bao3 xian3 gang4
保险箱地	bao3 xian3 xiang1 de5
俞柎	yu2 fu4
俞穴	shu4 xue2
俟伏斤	si4 fu2 jin1
俟俟	si4 si4
俟候	si4 hou4
俟几	si4 ji3
俟分	si4 fen1
俟力伐	si4 li4 fa2
俟吕陵	si4 lv3 ling2
俟命	si4 ming4
俟嗣	si4 si4
俟奴	si4 nu2
俟斤	si4 jin1
俟时	si4 shi2
俟望	si4 wang4
俟机	si4 ji1
俟次	si4 ci4
俟汾	si4 fen2
俟河之清	si4 he2 zhi1 qing1
俟畿	si4 ji1
信以为真	xin4 yi3 wei2 zhen1
信仰地	xin4 yang3 de5
信任地	xin4 ren4 de5
信佛	xin4 fo2
信号处理	xin4 hao4 chu3 li3
信子	xin4 zi3
信差	xin4 chai1
信得及	xin4 de5 ji2
信息灵通	xin4 xi5 ling2 tong1
信服地	xin4 fu2 de5
信皮儿	xin4 pi2 er5
信眉	shen1 mei2
信而好古	xin4 er2 hao4 gu3
信赖地	xin4 lai4 de5
俦似	chou2 si4
俩钱儿	lia3 qian2 er5
俪曲	li4 qu3
俭不中礼	jian3 bu4 zhong4 li3
俭朴地	jian3 pu3 de5
俭省地	jian3 sheng3 de5
俭薄	jian3 bo2
修为	xiu1 wei2
修供	xiu1 gong4
修勑	xiu1 lai4
修指甲	xiu1 zhi3 jia5
修省	xiu1 xing3
修脯	xiu1 fu3
修补地	xiu1 bu3 de5
修道士地	xiu1 dao4 shi4 de5
修道院地	xiu1 dao4 yuan4 de5
修郄	xiu1 xi4
修长	xiu1 chang2
修饰地	xiu1 shi4 de5
俯偻	fu3 lv3
俱舍宗	ju4 she4 zong1
俳佪	pai2 huai2
俳长	pai2 chang2
俵子	biao4 zi3
俶傥	ti4 tang3
俶载	chu4 zai3
俸给	feng4 ji3
倅长	cui4 chang2
倈子	lai2 zi3
倍僪	bei4 yu4
倍儿	bei4 er5
倍儿棒	bei4 er5 bang4
倍切	bei4 qie1
倍处	bei4 chu3
倍称	bei4 chen4
倏地一下	shu1 de5 yi1 xia4
倏地飞	shu1 de5 fei1
倏歘	shu1 xu1
倒三颠四	dao3 san1 dian1 si4
倒下	dao3 xia4
倒不是	dao4 bu2 shi4
倒不错	dao4 bu2 cuo4
倒书	dao3 shu1
倒买倒卖	dao3 mai3 dao3 mai4
倒乱	dao3 luan4
倒了架	dao3 le5 jia4
倒井	dao3 jing3
倒仓	dao3 cang1
倒仰儿	dao3 yang3 er2
倒伏	dao3 fu2
倒休	dao3 xiu1
倒侧	dao3 ce4
倒偃	dao3 yan3
倒儠匠	dao3 lie4 jiang4
倒儿爷	dao3 er5 ye2
倒兵	dao3 bing1
倒冠落佩	dao3 guan1 luo4 pei4
倒冠落珮	dao3 guan4 luo4 pei4
倒凤颠鸾	dao3 feng4 dian1 luan2
倒动	dao3 dong4
倒包	dao3 bao1
倒卓	dao3 zhuo2
倒卖	dao3 mai4
倒卧	dao3 wo4
倒县	dao3 xian4
倒反	dao3 fan3
倒反帐	dao3 fan3 zhang4
倒口	dao3 kou3
倒口子	dao3 kou3 zi5
倒句	dao3 ju4
倒台	dao3 tai2
倒君	dao3 jun1
倒喇	dao3 la3
倒嗓	dao3 sang3
倒噍	dao3 jiao4
倒噎气	dao3 ye1 qi4
倒嚼	dao3 jiao4
倒囊	dao3 nang2
倒回	dao3 hui2
倒因为果	dao3 yin1 wei2 guo3
倒囷	dao3 qun1
倒圈	dao3 juan4
倒在地上	dao3 zai4 di4 shang4
倒地	dao3 di4
倒坍	dao3 tan1
倒坏	dao3 huai4
倒坐	dao3 zuo4
倒垂	dao3 chui2
倒垂莲	dao3 chui2 lian2
倒塌	dao3 ta1
倒大	dao3 da4
倒大来	dao3 da4 lai2
倒失	dao3 shi1
倒头	dao3 tou2
倒头经	dao3 tou2 jing1
倒头饭	dao3 tou2 fan4
倒好儿	dao3 hao3 er2
倒字	dao3 zi4
倒宅	dao3 zhai2
倒寘	dao3 zhi4
倒寿	dao3 shou4
倒屣	dao3 xi3
倒履	dao3 lv3
倒屦	dao3 ju4
倒屧	dao3 xie4
倒山倾海	dao3 shan1 qing1 hai3
倒峡	dao3 xia2
倒峡泻河	dao3 xia2 xie4 he2
倒崩孩儿	dao3 beng1 hai2 er2
倒帐	dao3 zhang4
倒床	dao3 chuang2
倒序	dao3 xu4
倒底	dao3 di3
倒座	dao3 zuo4
倒座儿	dao4 zuo4 er5
倒廪倾囷	dao3 lin3 qing1 qun1
倒弄	dao3 nong4
倒心	dao3 xin1
倒心伏计	dao3 xin1 fu2 ji4
倒惑	dao3 huo4
倒想	dao3 xiang3
倒戈	dao3 ge1
倒戈卸甲	dao3 ge1 xie4 jia3
倒戟	dao3 ji3
倒戢干戈	dao3 ji2 gan1 ge1
倒扁	dao3 bian3
倒扁儿	dao3 bian3 er2
倒手	dao3 shou3
倒打一耙	dao4 da3 yi1 pa2
倒执手版	dao3 zhi2 shou3 ban3
倒找	dao3 zhao3
倒把	dao3 ba3
倒投	dao3 tou2
倒披	dao3 pi1
倒抹	dao3 mo3
倒押韵	dao3 ya1 yun4
倒拔	dao3 ba2
倒持太阿	dao3 chi2 tai4 a1
倒持干戈	dao3 chi2 gan1 ge1
倒持戈矛	dao3 chi2 ge1 mao2
倒持手板	dao3 chi2 shou3 ban3
倒持泰阿	dao4 chi2 tai4 e1
倒挂子	dao4 gua4 zi3
倒指	dao3 zhi3
倒挫	dao3 cuo4
倒换	dao3 huan4
倒捻子	dao3 nian3 zi3
倒掖气	dao3 ye4 qi4
倒掷	dao3 zhi4
倒提	dao3 ti2
倒收	dao3 shou1
倒数	dao4 shu3
倒数方程	dao4 shu3 fang1 cheng2
倒数计时	dao4 shu3 ji4 shi2
倒文	dao3 wen2
倒断	dao3 duan4
倒日	dao3 ri4
倒时差	dao3 shi2 cha1
倒春寒	dao3 chun1 han2
倒是	dao3 shi4
倒晕	dao3 yun1
倒景	dao3 jing3
倒曳	dao3 ye4
倒曹	dao3 cao2
倒替	dao3 ti4
倒月	dao3 yue4
倒杖	dao3 zhang4
倒杖策	dao3 zhang4 ce4
倒板	dao3 ban3
倒果为因	dao4 guo3 wei2 yin1
倒栽	dao3 zai1
倒栽地	dao4 zai1 de5
倒栽葱	dao3 zai1 cong1
倒栽葱地	dao3 zai1 cong1 de5
倒植	dao3 zhi2
倒楣	dao3 mei2
倒槽	dao3 cao2
倒橐	dao3 tuo2
倒死	dao3 si3
倒殖	dao3 zhi2
倒毙	dao3 bi4
倒气	dao3 qi4
倒汇	dao3 hui4
倒沫	dao3 mo4
倒泻	dao3 xie4
倒洑	dao3 fu2
倒海翻江	dao3 hai3 fan1 jiang1
倒溃	dao3 kui4
倒灶	dao3 zao4
倒熟	dao3 shu2
倒熟话	dao3 shu2 hua4
倒爷	dao3 ye2
倒牌子	dao3 pai2 zi5
倒牙	dao3 ya2
倒班	dao3 ban1
倒生	dao3 sheng1
倒用字	dao3 yong4 zi4
倒痗	dao3 mei4
倒盆	dao3 pen2
倒盘	dao3 pan2
倒盭	dao3 li4
倒相	dao4 xiang4
倒睨	dao3 ni4
倒社	dao3 she4
倒票	dao3 piao4
倒算	dao3 suan4
倒箧	dao3 qie4
倒箧倾囊	dao3 qie4 qing1 nang2
倒箧倾筐	dao3 qie4 qing1 kuang1
倒箱	dao3 xiang1
倒箱会	dao3 xiang1 hui4
倒箸	dao3 zhu4
倒篷	dao3 peng2
倒纳	dao3 na4
倒纻翻机	dao3 zhu4 fan1 ji1
倒缴	dao3 jiao3
倒置地	dao4 zhi4 de5
倒置干戈	dao4 zhi4 gan1 ge1
倒翻	dao3 fan1
倒胃口	dao3 wei4 kou3
倒背手儿	dao4 bei4 shou3 er5
倒腾	dao3 teng2
倒舞伎	dao3 wu3 ji4
倒茄	dao3 qie2
倒茬	dao3 cha2
倒落	dao3 luo4
倒薤	dao3 xie4
倒蛋	dao3 dan4
倒血霉	dao3 xue4 mei2
倒行	dao3 xing2
倒街卧巷	dao3 jie1 wo4 xiang4
倒衣	dao3 yi1
倒裳	dao3 chang2
倒裳索领	dao4 chang2 suo3 ling3
倒褪	dao3 tun4
倒见	dao3 jian4
倒言	dao3 yan2
倒语	dao3 yu3
倒读	dao3 du2
倒败	dao3 bai4
倒账	dao3 zhang4
倒账卷逃	dao3 zhang4 juan3 tao2
倒贩	dao3 fan4
倒赃	dao3 zang1
倒跌	dao3 die1
倒踬	dao3 zhi4
倒蹅门	dao3 cha3 men2
倒蹲儿	dao3 dun1 er2
倒身	dao3 shen1
倒躲	dao3 duo3
倒轩	dao3 xuan1
倒转地	dao4 zhuan3 de5
倒载	dao3 zai4
倒载干戈	dao4 zai4 gan1 ge1
倒运	dao3 yun4
倒还	dao3 hai2
倒述	dao3 shu4
倒退一步	dao4 tui4 yi2 bu4
倒逆	dao3 ni4
倒错	dao3 cuo4
倒闭	dao3 bi4
倒阁	dao3 ge2
倒阳	dao3 yang2
倒除	dao3 chu2
倒霉	dao3 mei2
倒霉地	dao3 mei2 de5
倒霉蛋	dao3 mei2 dan4
倒霉蛋儿	dao3 mei2 dan4 er5
倒靥	dao3 ye4
倒顿	dao3 dun4
倒颠	dao3 dian1
倒马	dao3 ma3
倒验	dao3 yan4
倔佹	jue4 gui3
倔傀	jue4 gui1
倔僵	jue4 jiang1
倔头	jue4 tou5
倔头倔脑	jue4 tou5 jue4 nao3
倔头强脑	jue4 tou2 jiang4 nao3
倔奇	jue4 qi2
倔巴	jue4 ba1
倔強	jue2 jiang4
倔强	jue2 jiang4
倔强倨傲	jue2 jiang4 ju4 ao4
倔强地	jue2 jiang4 de5
倔然	jue4 ran2
倔犟	jue4 jiang4
倔聱	jue4 ao2
倔起	jue4 qi3
倘佯	chang2 yang2
候伺	hou4 si4
候舍	hou4 she4
候长	hou4 chang2
候骑	hou4 ji4
倚儿不当	yi3 er2 bu4 dang4
倚子	yi3 zi3
倚此为命	yi3 ci3 wei2 ming4
倚藉	yi3 jie4
倚门倚闾	yi3 men2 yi3 lv3
倚闾望切	yi3 lv2 wang4 qie1
倜侏	zhou1 zhu1
倜倡	zhou1 chang4
借单儿	jie4 dan1 er5
借字儿	jie4 zi4 er5
借尸还阳	jie4 shi1 huan2 yang2
借尸还魂	jie4 shi1 huan2 hun2
借方差额	jie4 fang1 cha1 e2
借翫	jie4 wan4
借腹生子	jie4 fu4 sheng1 zi3
借花献佛	jie4 hua1 xian4 fo2
借面吊丧	jie4 mian4 diao4 sang1
倡子	chang4 zi3
倡条	chang1 tiao2
倡条冶叶	chang1 tiao2 ye3 ye4
倡狂	chang1 kuang2
倡而不和	chang4 er2 bu4 he4
倥侗	kong1 tong2
倥偬	kong3 zong3
倦怠地	juan4 dai4 de5
倦鸟知还	juan4 niao3 zhi1 huan2
倨僈	ju4 man4
倨嫚	ju4 man4
倨曲	ju4 qu3
倪子	ni2 zi3
倭子	wo1 zi3
倭黑猩猩	wo1 hei1 xing1 xing5
倰僜	leng4 deng1
债务重组	zhai4 wu4 chong2 zu3
债各有主	zhai5 ge4 you3 zhu3
值不当	zhi2 bu4 dang4
值当	zhi2 dang4
值得	zhi2 de5
值得一提	zhi2 de2 yi4 ti2
值得信赖	zhi2 de5 xin4 lai4
值得品味	zhi2 de5 pin3 wei4
值得敬佩	zhi2 de5 jing4 pei4
值得注意	zhi2 de5 zhu4 yi4
值得称赞	zhi2 de5 cheng1 zan4
值更	zhi2 geng1
倾仆	qing1 pu2
倾倒	qing1 dao3
倾尽	qing1 jin4
倾折	qing1 she2
倾斜地	qing1 xie2 de5
倾曲	qing1 qu3
倾欹	qing1 qi1
倾肠倒肚	qing1 chang2 dao4 du3
倾角地	qing1 jiao3 de5
倾阤	qing1 yi3
倾颇	qing1 po1
偃仆	yan3 pu2
偃佒	yan3 yang1
偃俛	yan3 mian3
偃倒	yan3 dao3
偃偻	yan3 lv3
偃折	yan3 she2
偃旗仆鼓	yan3 qi2 pu2 gu3
偃革为轩	yan3 ge2 wei2 xuan1
偃革倒戈	yan3 ge2 dao3 ge1
假似	jia3 si4
